tweet_id,timestamp,source,text,name,stage,rating,rating_numerator,rating_denominator,favorites,img_number,first_prediction,first_prediction_confidence,first_prediction_isdog,second_prediction,second_prediction_confidence,second_prediction_isdog,third_prediction,third_prediction_confidence,third_prediction_isdog,image_url,retweets,expanded_urls
892420643555336193,2017-08-01 16:23:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,1.3,13,10,39467.0,1.0,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,8853.0,https://twitter.com/dog_rates/status/892420643555336193/photo/1
892177421306343426,2017-08-01 00:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,1.3,13,10,33819.0,1.0,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,6514.0,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,2017-07-31 00:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,1.2,12,10,25461.0,1.0,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,4328.0,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891689557279858688,2017-07-30 15:58:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,1.3,13,10,42908.0,1.0,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,8964.0,https://twitter.com/dog_rates/status/891689557279858688/photo/1
891327558926688256,2017-07-29 16:00:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,1.2,12,10,41048.0,2.0,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,9774.0,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1"
891087950875897856,2017-07-29 00:08:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,,1.3,13,10,20562.0,1.0,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,3261.0,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,2017-07-28 16:27:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,1.3,13,10,12041.0,1.0,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,2158.0,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1"
890729181411237888,2017-07-28 00:22:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,,1.3,13,10,56848.0,2.0,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,16716.0,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1"
890609185150312448,2017-07-27 16:25:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,1.3,13,10,28226.0,1.0,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,4429.0,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,2017-07-26 15:59:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo ,1.4,14,10,32467.0,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,7711.0,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,2017-07-26 00:31:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,1.3,13,10,31166.0,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,7624.0,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1"
889880896479866881,2017-07-25 16:11:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,1.3,13,10,28268.0,1.0,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,5156.0,https://twitter.com/dog_rates/status/889880896479866881/photo/1
889665388333682689,2017-07-25 01:55:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,puppo ,1.3,13,10,38818.0,1.0,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,8538.0,https://twitter.com/dog_rates/status/889665388333682689/photo/1
